"","sourceID","Source","Target","popularity","followers","id"
"49","7CajNmpbOovFoOoasH2HaY","Calvin Harris","Steve Aoki",75,766055,"77AiFEVeAVj2ORpC85QVJs"
"50","7CajNmpbOovFoOoasH2HaY","Calvin Harris","Major Lazer",88,1205440,"738wLrAtLtCtFOLvQBXOXp"
"51","7CajNmpbOovFoOoasH2HaY","Calvin Harris","Afrojack",77,702740,"4D75GcNG95ebPtNvoNVXhz"
"52","7CajNmpbOovFoOoasH2HaY","Calvin Harris","Simian Mobile Disco",44,68086,"31DXlldabwPHwu6dYevuzK"
"53","7CajNmpbOovFoOoasH2HaY","Calvin Harris","Skrillex",81,4323719,"5he5w2lnU9x7JFhnwcekXX"
"54","7CajNmpbOovFoOoasH2HaY","Calvin Harris","Madeon",61,232552,"4pb4rqWSoGUgxm63xmJ8xc"
"55","7CajNmpbOovFoOoasH2HaY","Calvin Harris","Benny Benassi",68,249779,"4Ws2otunReOa6BbwxxpCt6"
"56","7CajNmpbOovFoOoasH2HaY","Calvin Harris","Mark Ronson",73,315293,"3hv9jJF3adDNsBSIQDqcjp"
"57","7CajNmpbOovFoOoasH2HaY","Calvin Harris","Empire of the Sun",67,461478,"67hb7towEyKvt5Z8Bx306c"
"58","7CajNmpbOovFoOoasH2HaY","Calvin Harris","Daft Punk",76,2766216,"4tZwfgrHOc3mvqYlEYSvVi"
"59","7CajNmpbOovFoOoasH2HaY","Calvin Harris","Ellie Goulding",81,2783403,"0X2BH1fck6amBIoJhDVmmJ"
"60","7CajNmpbOovFoOoasH2HaY","Calvin Harris","Example",60,126701,"6Vh6UDWfu9PUSXSzAaB3CW"
"61","69GGBxA162lTqCwzJG5jLp","The Chainsmokers","Galantis",84,378890,"4sTQVOfp9vEMCemLw50sbu"
"62","69GGBxA162lTqCwzJG5jLp","The Chainsmokers","Jack Ü",75,329663,"1HxJeLhIuegM3KgvPn8sTa"
"63","69GGBxA162lTqCwzJG5jLp","The Chainsmokers","DJ Snake",84,554251,"540vIaP2JwjQb9dm3aArA4"
"64","69GGBxA162lTqCwzJG5jLp","The Chainsmokers","Major Lazer",88,1205440,"738wLrAtLtCtFOLvQBXOXp"
"65","69GGBxA162lTqCwzJG5jLp","The Chainsmokers","Cheat Codes",83,39230,"7DMveApC7UnC2NPfPvlHSU"
"66","69GGBxA162lTqCwzJG5jLp","The Chainsmokers","Matoma",78,77163,"4YXycRbyyAE0wozTk7QMEq"
"67","69GGBxA162lTqCwzJG5jLp","The Chainsmokers","Bebe Rexha",81,149732,"64M6ah0SkkRsnPGtGiRAbb"
"68","69GGBxA162lTqCwzJG5jLp","The Chainsmokers","Mike Posner",84,329707,"2KsP6tYLJlTBvSUxnwlVWa"
"69","69GGBxA162lTqCwzJG5jLp","The Chainsmokers","Calvin Harris",89,4702153,"7CajNmpbOovFoOoasH2HaY"
"70","69GGBxA162lTqCwzJG5jLp","The Chainsmokers","Snakehips",74,69241,"2FwJwEswyIUAljqgjNSHgP"
"71","69GGBxA162lTqCwzJG5jLp","The Chainsmokers","Zedd",76,930842,"2qxJFvFYMEDqd7ui6kSAcq"
"72","69GGBxA162lTqCwzJG5jLp","The Chainsmokers","Alesso",75,590316,"4AVFqumd2ogHFlRbKIjp1t"
"73","69GGBxA162lTqCwzJG5jLp","The Chainsmokers","Daya",86,140152,"6Dd3NScHWwnW6obMFbl1BH"
"74","69GGBxA162lTqCwzJG5jLp","The Chainsmokers","Black Coast",62,30517,"4JMdvZoXArDVuMNNelKmjo"
"75","69GGBxA162lTqCwzJG5jLp","The Chainsmokers","Diplo",78,693988,"5fMUXHkw8R8eOP2RNVYEZX"
"76","69GGBxA162lTqCwzJG5jLp","The Chainsmokers","Avicii",82,4944742,"1vCWHaC5f2uS3yhpwWbIA6"
"77","69GGBxA162lTqCwzJG5jLp","The Chainsmokers","Jonas Blue",83,32416,"1HBjj22wzbscIZ9sEb5dyf"
"78","69GGBxA162lTqCwzJG5jLp","The Chainsmokers","Kygo",85,1027032,"23fqKkggKUBHNkbKtXEls4"
"79","69GGBxA162lTqCwzJG5jLp","The Chainsmokers","Life of Dillon",57,14046,"6e4aHkdDUcsaXPTQdF6Qhn"
"80","69GGBxA162lTqCwzJG5jLp","The Chainsmokers","Dillon Francis",70,263796,"5R3Hr2cnCCjt220Jmt2xLf"
"81","31TPClRtHm23RisEBtV3X7","Justin Timberlake","Rihanna",96,7145681,"5pKCCKE2ajJHZ9KAiaK11H"
"82","31TPClRtHm23RisEBtV3X7","Justin Timberlake","Beyoncé",85,4745438,"6vWDO969PvNqNYHIOW5v0m"
"83","31TPClRtHm23RisEBtV3X7","Justin Timberlake","Usher",81,2689176,"23zg3TcAtWQy7J6upgbUnj"
"84","31TPClRtHm23RisEBtV3X7","Justin Timberlake","Gwen Stefani",72,435946,"4yiQZ8tQPux8cPriYMWUFP"
"85","31TPClRtHm23RisEBtV3X7","Justin Timberlake","Jennifer Lopez",80,1201930,"2DlGxzQSjYe5N6G9nkYghR"
"86","31TPClRtHm23RisEBtV3X7","Justin Timberlake","Alicia Keys",77,1060071,"3DiDSECUqqY1AuBP8qtaIa"
"87","31TPClRtHm23RisEBtV3X7","Justin Timberlake","Britney Spears",78,1364524,"26dSoYclwsYLMAKD3tpOr4"
"88","31TPClRtHm23RisEBtV3X7","Justin Timberlake","The Black Eyed Peas",73,1062197,"1yxSLGMDHlW21z4YXirZDS"
"89","31TPClRtHm23RisEBtV3X7","Justin Timberlake","Fergie",71,351908,"3r17AfJCCUqC9Lf0OAc73G"
"90","31TPClRtHm23RisEBtV3X7","Justin Timberlake","Robin Thicke",71,544607,"0ZrpamOxcZybMHGg1AYtHP"
"91","31TPClRtHm23RisEBtV3X7","Justin Timberlake","Bruno Mars",83,4532197,"0du5cEVh5yTK9QJze8zA0C"
"92","31TPClRtHm23RisEBtV3X7","Justin Timberlake","Nicole Scherzinger",61,165670,"40xbWSB4JPdOkRyuTDy1oP"
"93","31TPClRtHm23RisEBtV3X7","Justin Timberlake","Christina Aguilera",77,948632,"1l7ZsJRRS8wlW3WfJfPfNS"
"94","31TPClRtHm23RisEBtV3X7","Justin Timberlake","P!nk",79,1754093,"1KCSPY1glIKqW2TotWuXOR"
"95","31TPClRtHm23RisEBtV3X7","Justin Timberlake","Timbaland",72,306954,"5Y5TRrQiqgUO4S36tzjIRZ"
"96","31TPClRtHm23RisEBtV3X7","Justin Timberlake","CeeLo Green",64,188479,"5nLYd9ST4Cnwy6NHaCxbj8"
"97","31TPClRtHm23RisEBtV3X7","Justin Timberlake","will.i.am",74,934624,"085pc2PYOi8bGKj0PNjekA"
"98","31TPClRtHm23RisEBtV3X7","Justin Timberlake","Kelly Rowland",67,379257,"3AuMNF8rQAKOzjYppFNAoB"
"99","31TPClRtHm23RisEBtV3X7","Justin Timberlake","Justin Bieber",90,5998891,"1uNFoZAHBGtllmzznpCI3s"
"100","31TPClRtHm23RisEBtV3X7","Justin Timberlake","Ne-Yo",78,1034854,"21E3waRsmPlU7jZsS13rcj"
"101","7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","Charlie Puth",83,624360,"6VuMaDnrHyPL1p4EHjYLi7"
"102","7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","Tori Kelly",70,486475,"1vSN1fsvrzpbttOYGsliDr"
"103","7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","Justin Bieber",90,5998891,"1uNFoZAHBGtllmzznpCI3s"
"104","7n2wHs1TKAczGzO7Dd2rGr","Shawn Mendes","Nick Jonas",82,641564,"4Rxn7Im3LGfyRkY2FlHhWi"
